entidad,poblacion_15_mas
Aguascalientes,1104391
Baja California,2933962
Baja California Sur,622943
Campeche,722818
Chiapas,3803799
Chihuahua,2866515
Ciudad de México,7370186
Coahuila,2423534
Colima,609728
Durango,1407597
Guanajuato,4683663
Guerrero,2491307
Hidalgo,2288217
Jalisco,6193111
Estado de México,12862124
Michoacán,3446992
Morelos,1570419
Nayarit,962817
Nuevo León,4374312
Oaxaca,3117166
Puebla,4960197
Querétaro,1855147
Quintana Roo,1476012
San Luis Potosí,2126864
Sinaloa,2339010
Sonora,2228688
Tabasco,1842504
Tamaulipas,2674807
Tlaxcala,1029918
Veracruz,6112056
Yucatán,1772013
Zacatecas,1215820
