entidad,num_sucursales,demanda_semanal_mxn,envio_recomendado_mxn,stock_actual,demanda_semanal,requiere_envio,explicacion
Estado de Mexico,279,17852222.270048734,7200000,27900000,17852222.270048734,True,"Requiere envío de $7,200,000"
Ciudad de Mexico,88,10229585.614599997,5900000,8800000,10229585.614599997,True,"Requiere envío de $5,900,000"
Jalisco,152,8595842.655154295,5000000,15200000,8595842.655154295,True,"Requiere envío de $5,000,000"
Veracruz,292,8483340.87270384,0,29200000,8483340.87270384,False,"Stock suficiente ($29,200,000 >= $23,083,341)"
Puebla,261,6884596.925611113,0,26100000,6884596.925611113,False,"Stock suficiente ($26,100,000 >= $19,934,597)"
Guanajuato,106,6500776.459160497,4400000,10600000,6500776.459160497,True,"Requiere envío de $4,400,000"
Nuevo Leon,55,6071407.032193238,4200000,5500000,6071407.032193238,True,"Requiere envío de $4,200,000"
Chiapas,233,5279552.9897386385,0,23300000,5279552.9897386385,False,"Stock suficiente ($23,300,000 >= $16,929,553)"
Michoacan,174,4784316.1321629165,0,17400000,4784316.1321629165,False,"Stock suficiente ($17,400,000 >= $13,484,316)"
Oaxaca,287,4326528.051248669,0,28700000,4326528.051248669,False,"Stock suficiente ($28,700,000 >= $18,676,528)"
Baja California,26,4072246.6799322353,3500000,2600000,4072246.6799322353,True,"Requiere envío de $3,500,000"
Chihuahua,72,3978632.372105007,3400000,7200000,3978632.372105007,True,"Requiere envío de $3,400,000"
Tamaulipas,61,3712547.717117503,3300000,6100000,3712547.717117503,True,"Requiere envío de $3,300,000"
Guerrero,136,3457855.507140835,0,13600000,3457855.507140835,False,"Stock suficiente ($13,600,000 >= $10,257,856)"
Coahuila,35,3363788.7215999695,3200000,3500000,3363788.7215999695,True,"Requiere envío de $3,200,000"
Sinaloa,65,3246472.076607774,0,6500000,3246472.076607774,False,"Stock suficiente ($6,500,000 >= $6,496,472)"
Hidalgo,135,3175972.9952925425,0,13500000,3175972.9952925425,False,"Stock suficiente ($13,500,000 >= $9,925,973)"
Sonora,73,3093348.621626597,0,7300000,3093348.621626597,False,"Stock suficiente ($7,300,000 >= $6,743,349)"
San Luis Potosi,77,2952020.122505811,0,7700000,2952020.122505811,False,"Stock suficiente ($7,700,000 >= $6,802,020)"
Queretaro,30,2574885.5000631385,2800000,3000000,2574885.5000631385,True,"Requiere envío de $2,800,000"
Tabasco,45,2557337.4149910132,2800000,4500000,2557337.4149910132,True,"Requiere envío de $2,800,000"
Yucatan,100,2459498.131211911,0,10000000,2459498.131211911,False,"Stock suficiente ($10,000,000 >= $7,459,498)"
Morelos,45,2179692.0201599407,0,4500000,2179692.0201599407,False,"Stock suficiente ($4,500,000 >= $4,429,692)"
Quintana Roo,24,2048658.0830086207,2500000,2400000,2048658.0830086207,True,"Requiere envío de $2,500,000"
Durango,47,1953700.2217249488,0,4700000,1953700.2217249488,False,"Stock suficiente ($4,700,000 >= $4,303,700)"
Zacatecas,74,1687519.7969146192,0,7400000,1687519.7969146192,False,"Stock suficiente ($7,400,000 >= $5,387,520)"
Aguascalientes,17,1532859.8608629017,2200000,1700000,1532859.8608629017,True,"Requiere envío de $2,200,000"
Tlaxcala,74,1429493.6867288833,0,7400000,1429493.6867288833,False,"Stock suficiente ($7,400,000 >= $5,129,494)"
Nayarit,34,1336359.615984227,0,3400000,1336359.615984227,False,"Stock suficiente ($3,400,000 >= $3,036,360)"
Campeche,26,1003248.5767352333,0,2600000,1003248.5767352333,False,"Stock suficiente ($2,600,000 >= $2,303,249)"
Baja California Sur,10,864625.2281171421,1600000,1000000,864625.2281171421,True,"Requiere envío de $1,600,000"
Colima,17,846283.2250934818,0,1700000,846283.2250934818,False,"Stock suficiente ($1,700,000 >= $1,696,283)"
