entidad,poblacion_15_mas,peso_poblacion,num_sucursales,demanda_semanal_mxn,sucursales_por_100k,envio_recomendado_mxn
Estado de Mexico,12862124,0.13469795364237946,279,17852222.270048734,2.1691596193599127,7200000
Ciudad de Mexico,7370186,0.07718390618561242,88,10229585.614599997,1.1939997172391579,5900000
Jalisco,6193111,0.06485704681280559,152,8595842.655154295,2.454339991645556,5000000
Veracruz,6112056,0.06400820235815075,292,8483340.87270384,4.7774431386099865,0
Puebla,4960197,0.05194541629073625,261,6884596.925611113,5.261887783892454,0
Guanajuato,4683663,0.049049427734527196,106,6500776.459160497,2.2631858867728103,4400000
Nuevo Leon,4374312,0.04580976477860921,55,6071407.032193238,1.2573405829305273,4200000
Chiapas,3803799,0.0398350957716571,233,5279552.9897386385,6.125455104226065,0
Michoacan,3446992,0.03609845221688524,174,4784316.1321629165,5.047879426468063,0
Oaxaca,3117166,0.03264436584218916,287,4326528.051248669,9.207081047335945,0
Baja California,2933962,0.03072577106739936,26,4072246.6799322353,0.886173713224643,3500000
Chihuahua,2866515,0.030019435715686254,72,3978632.372105007,2.5117607966467994,3400000
Tamaulipas,2674807,0.02801178322400811,61,3712547.717117503,2.2805383715535363,3300000
Guerrero,2491307,0.02609008860394562,136,3457855.507140835,5.458981972113433,0
Coahuila,2423534,0.025380339233452457,35,3363788.7215999695,1.4441720231694706,3200000
Sinaloa,2339010,0.024495165848895717,65,3246472.076607774,2.7789534888692224,0
Hidalgo,2288217,0.02396323868357237,135,3175972.9952925425,5.899790098578937,0
Sonora,2228688,0.023339824192903705,73,3093348.621626597,3.275469693380141,0
San Luis Potosi,2126864,0.022273477419098568,77,2952020.122505811,3.620353722663978,0
Queretaro,1855147,0.01942793465572244,30,2574885.5000631385,1.6171225245223155,2800000
Tabasco,1842504,0.01929553146726767,45,2557337.4149910132,2.442328483411705,2800000
Yucatan,1772013,0.018557317977007045,100,2459498.131211911,5.643299456606695,0
Morelos,1570419,0.01644613484220117,45,2179692.0201599407,2.8654773025542863,0
Quintana Roo,1476012,0.015457462231867442,24,2048658.0830086207,1.626003040625686,2500000
Durango,1407597,0.014740989548316622,47,1953700.2217249488,3.3390238825459275,0
Zacatecas,1215820,0.012732614457571532,74,1687519.7969146192,6.086427267194157,0
Aguascalientes,1104391,0.011565679799157673,17,1532859.8608629017,1.5393099002074446,2200000
Tlaxcala,1029918,0.010785765012019178,74,1429493.6867288833,7.185038032154016,0
Nayarit,962817,0.010083053128091041,34,1336359.615984227,3.5313044950390364,0
Campeche,722818,0.007569675541603971,26,1003248.5767352333,3.59703272469695,0
Baja California Sur,622943,0.006523739573327453,10,864625.2281171421,1.6052833084246874,1600000
Colima,609728,0.006385346143332217,17,846283.2250934818,2.7881284769602184,0
